iwebsiteid,ctype,clistingid
1,hot,00a1fa65-d914-1004-874c-d371c9ab96c0
1,hot,009a99ae-d914-1004-874c-d371c9ab96c0
1,hot,0468de81-d914-1004-874c-d371c9ab96c0
1,hot,0cb986d4-d914-1004-874c-d371c9ab96c0
1,hot,00ce9441-d914-1004-874c-d371c9ab96c0
1,hot,d5433b1a-d929-1004-835b-90389054983d
1,hot,00c1abd-d914-1004-874c-d371c9ab96c0
1,new,0cc194ee-d914-1004-874c-d371c9ab96c0
1,new,ca4432c0-d92f-1004-8e79-5d7e63ca983b
1,new,ca4432c0-d92f-1004-8e79-5d7e63ca983b
1,new,ca4432c0-d92f-1004-8e79-5d7e63ca983b
1,new,0cc194ee-d914-1004-874c-d371c9ab96c0
1,new,048c0c5c-d914-1004-874c-d371c9ab96c0
1,new,0cc194ee-d914-1004-874c-d371c9ab96c0
1,new,048c0c5c-d914-1004-874c-d371c9ab96c0
1,new,048c0c5c-d914-1004-874c-d371c9ab96c0
1,new,d4d53962-d929-1004-835b-90389054983d
1,new,d4c5f20e-d929-1004-835b-90389054983d
1,new,d4d53962-d929-1004-835b-90389054983d
1,new,d4c5f20e-d929-1004-835b-90389054983d
1,new,d4d53962-d929-1004-835b-90389054983d
1,new,00ce9441-d914-1004-874c-d371c9ab96c0
1,new,00ce9441-d914-1004-874c-d371c9ab96c0
1,new,00ce9441-d914-1004-874c-d371c9ab96c0
1,new,00654ea8-d914-1004-874c-d371c9ab96c0
1,new,00654ea8-d914-1004-874c-d371c9ab96c0
1,new,00654ea8-d914-1004-874c-d371c9ab96c0
1,new,00703478-d914-1004-874c-d371c9ab96c0
1,new,00703478-d914-1004-874c-d371c9ab96c0
1,new,00703478-d914-1004-874c-d371c9ab96c0
1,new,0470d07c-d914-1004-874c-d371c9ab96c0
1,new,0470d07c-d914-1004-874c-d371c9ab96c0
1,new,0470d07c-d914-1004-874c-d371c9ab96c0
1,new,046d4c7b-d914-1004-874c-d371c9ab96c0
